date,상품,카테고리,발매가,브랜드,리셀가
2025-01-13T04:57:53Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,107000
2025-01-13T04:55:53Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T04:46:19Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T04:32:39Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,107000
2025-01-13T04:26:40Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,108000
2025-01-13T04:24:00Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T04:21:56Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T04:21:08Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T04:20:48Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,108000
2025-01-13T04:20:12Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T04:20:05Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T04:20:00Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,107000
2025-01-13T04:19:39Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T04:19:34Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,120000
2025-01-13T04:17:41Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T04:15:53Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,129000
2025-01-13T04:15:20Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,126000
2025-01-13T04:14:17Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T04:11:44Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,112000
2025-01-13T04:07:56Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T04:06:56Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,129000
2025-01-13T04:06:56Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T04:03:11Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,128000
